run,seed,fold,best_epoch,best_val_total,test_total,test_onset_f1_weighted,test_frame_f1_weighted,test_onset_pr_auc_macro,test_frame_pr_auc_macro
seed_42_fold_1,42,1,10,1.558364,1.756023,0.080342,0.128205,0.321280,0.311802
seed_42_fold_2,42,2,12,1.737706,1.689969,0.228137,0.288575,0.501986,0.495792
seed_42_fold_3,42,3,9,1.663159,1.395329,0.290232,0.284900,0.500570,0.519747
seed_42_fold_4,42,4,9,1.806533,2.110637,0.125110,0.201708,0.215144,0.282854
seed_42_fold_5,42,5,13,1.553244,1.736885,0.128205,0.169231,0.325612,0.305509
seed_52_fold_1,52,1,1,2.039375,2.036373,0.084474,0.069883,0.198863,0.097008
seed_52_fold_2,52,2,14,1.667716,1.678420,0.155956,0.159865,0.371856,0.398116
seed_52_fold_3,52,3,1,2.070150,2.057397,0.118593,0.094200,0.121984,0.227826
seed_52_fold_4,52,4,1,2.009522,2.010670,0.073602,0.098063,0.106880,0.097881
seed_52_fold_5,52,5,16,1.272747,1.744844,0.157265,0.134615,0.359739,0.354641
seed_62_fold_1,62,1,8,1.851842,1.470218,0.192308,0.221083,0.362328,0.367742
seed_62_fold_2,62,2,1,2.070728,1.941203,0.060880,0.038659,0.185008,0.091773
seed_62_fold_3,62,3,1,2.062289,2.049142,0.103207,0.087399,0.138144,0.128165
seed_62_fold_4,62,4,10,1.680554,2.059211,0.129615,0.107516,0.231470,0.241600
seed_62_fold_5,62,5,12,1.665168,1.808242,0.231482,0.168499,0.297920,0.306466
