run,seed,fold,best_epoch,best_val_total,test_total,test_onset_f1_weighted,test_frame_f1_weighted,test_onset_pr_auc_macro,test_frame_pr_auc_macro
seed_42_fold_1,42,1,14,0.206514,0.211488,0.000000,0.000000,0.309189,0.319259
seed_42_fold_2,42,2,14,0.222181,0.207208,0.183761,0.211111,0.442867,0.461864
seed_42_fold_3,42,3,17,0.210705,0.185946,0.034188,0.000000,0.423405,0.518949
seed_42_fold_4,42,4,12,0.220599,0.245535,0.000000,0.000000,0.252710,0.288944
seed_42_fold_5,42,5,19,0.203178,0.215221,0.068376,0.068376,0.278441,0.310940
seed_52_fold_1,52,1,20,0.196077,0.249904,0.068376,0.059829,0.304675,0.270676
seed_52_fold_2,52,2,19,0.213740,0.210580,0.085470,0.111111,0.358658,0.294876
seed_52_fold_3,52,3,3,0.280788,0.292091,0.069353,0.054701,0.125838,0.126237
seed_52_fold_4,52,4,2,0.265973,0.277902,0.084005,0.046154,0.128972,0.132959
seed_52_fold_5,52,5,20,0.171172,0.207355,0.051282,0.094017,0.331203,0.322590
seed_62_fold_1,62,1,18,0.222083,0.200277,0.068376,0.068376,0.298037,0.295182
seed_62_fold_2,62,2,20,0.228727,0.193468,0.247863,0.188034,0.518141,0.482607
seed_62_fold_3,62,3,20,0.227603,0.225478,0.068498,0.153968,0.322538,0.371045
seed_62_fold_4,62,4,12,0.222972,0.248017,0.000000,0.000000,0.225878,0.250012
seed_62_fold_5,62,5,17,0.212039,0.232657,0.068376,0.059829,0.263224,0.253184
